Date,Description,Transaction Type,Debit,Credit
4/1/2026,INTERAC PURCHASE METRO #1234,Purchase,74.50,
4/3/2026,INTERAC PURCHASE ESSO,Purchase,58.20,
4/6/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
4/8/2026,INTERAC e-TRANSFER SENT,Transfer,200.00,
4/10/2026,PREAUTH PAYMENT NETFLIX,Payment,17.99,
4/13/2026,INTERAC PURCHASE COSTCO WHOLESALE,Purchase,198.70,
4/15/2026,ATM WITHDRAWAL,Withdrawal,200.00,
4/17/2026,INTERAC PURCHASE TIM HORTONS,Purchase,8.75,
4/20/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
4/21/2026,PREAUTH PAYMENT SPOTIFY,Payment,11.99,
4/23/2026,INTERAC PURCHASE LCBO,Purchase,33.25,
4/25/2026,PREAUTH PAYMENT BELL CANADA,Payment,110.00,
4/27/2026,INTERAC PURCHASE FOOD BASICS,Purchase,61.80,
4/29/2026,INTERAC e-TRANSFER FROM ROOMMATE,Transfer,,425.00
4/30/2026,PREAUTH PAYMENT CAR INSURANCE,Payment,185.00,
