Date,Description,Transaction Type,Debit,Credit
2/2/2026,INTERAC PURCHASE METRO #1234,Purchase,68.90,
2/4/2026,INTERAC PURCHASE ESSO,Purchase,51.40,
2/6/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
2/9/2026,INTERAC e-TRANSFER SENT,Transfer,180.00,
2/10/2026,PREAUTH PAYMENT NETFLIX,Payment,17.99,
2/12/2026,INTERAC PURCHASE COSTCO WHOLESALE,Purchase,182.30,
2/15/2026,ATM WITHDRAWAL,Withdrawal,200.00,
2/17/2026,INTERAC PURCHASE TIM HORTONS,Purchase,9.10,
2/19/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
2/20/2026,PREAUTH PAYMENT SPOTIFY,Payment,11.99,
2/22/2026,INTERAC PURCHASE LCBO,Purchase,29.75,
2/24/2026,PREAUTH PAYMENT BELL CANADA,Payment,110.00,
2/26/2026,INTERAC PURCHASE FOOD BASICS,Purchase,58.90,
2/28/2026,INTERAC e-TRANSFER FROM ROOMMATE,Transfer,,425.00
2/28/2026,PREAUTH PAYMENT CAR INSURANCE,Payment,185.00,
