Date,Description,Transaction Type,Debit,Credit
1/3/2026,INTERAC PURCHASE METRO #1234,Purchase,85.20,
1/5/2026,INTERAC PURCHASE ESSO,Purchase,48.90,
1/7/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
1/9/2026,INTERAC e-TRANSFER SENT,Transfer,150.00,
1/10/2026,PREAUTH PAYMENT NETFLIX,Payment,17.99,
1/12/2026,INTERAC PURCHASE COSTCO WHOLESALE,Purchase,210.50,
1/14/2026,ATM WITHDRAWAL,Withdrawal,200.00,
1/16/2026,INTERAC PURCHASE TIM HORTONS,Purchase,7.25,
1/19/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
1/20/2026,PREAUTH PAYMENT SPOTIFY,Payment,11.99,
1/22/2026,INTERAC PURCHASE LCBO,Purchase,28.50,
1/24/2026,PREAUTH PAYMENT BELL CANADA,Payment,110.00,
1/26/2026,INTERAC PURCHASE FOOD BASICS,Purchase,72.15,
1/28/2026,INTERAC e-TRANSFER FROM ROOMMATE,Transfer,,425.00
1/30/2026,PREAUTH PAYMENT CAR INSURANCE,Payment,185.00,
