Date,Description,Transaction Type,Debit,Credit
5/2/2026,INTERAC PURCHASE METRO #1234,Purchase,78.60,
5/4/2026,INTERAC PURCHASE ESSO,Purchase,52.30,
5/6/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
5/8/2026,INTERAC e-TRANSFER SENT,Transfer,175.00,
5/10/2026,PREAUTH PAYMENT NETFLIX,Payment,17.99,
5/12/2026,INTERAC PURCHASE COSTCO WHOLESALE,Purchase,188.40,
5/14/2026,ATM WITHDRAWAL,Withdrawal,200.00,
5/15/2026,INTERAC PURCHASE TIM HORTONS,Purchase,9.25,
5/18/2026,DIRECT DEPOSIT EMPLOYER,Deposit,,3100.00
5/19/2026,PREAUTH PAYMENT SPOTIFY,Payment,11.99,
5/20/2026,INTERAC PURCHASE LCBO,Purchase,31.00,
