Transaction date,Transaction,Name,Memo,Amount
4/3/2026,PURCHASE,STARBUCKS #7821,COFFEE,-8.25
4/6/2026,PURCHASE,BEST BUY #442,WIRELESS MOUSE,-49.99
4/9/2026,PURCHASE,METRO GROCERY,GROCERIES,-71.20
4/12/2026,PURCHASE,APPLE.COM/BILL,ICLOUD STORAGE,-3.99
4/15/2026,PURCHASE,THE KEG STEAKHOUSE,DINNER,-98.70
4/18/2026,PURCHASE,WINNERS #1234,SPRING CLOTHING,-67.00
4/20/2026,PURCHASE,ESSO GAS,FUEL,-54.80
4/23/2026,PURCHASE,SKIP THE DISHES,FOOD DELIVERY,-30.15
4/25/2026,PURCHASE,INDIGO BOOKS,BOOKS,-26.99
4/28/2026,PURCHASE,SPORT CHEK,RUNNING SHORTS,-44.99
