Transaction date,Transaction,Name,Memo,Amount
2/4/2026,PURCHASE,STARBUCKS #7821,COFFEE,-7.45
2/7/2026,PURCHASE,BEST BUY #442,PHONE CASE,-34.99
2/10/2026,PURCHASE,METRO GROCERY,GROCERIES,-62.80
2/13/2026,PURCHASE,APPLE.COM/BILL,ICLOUD STORAGE,-3.99
2/15/2026,PURCHASE,THE KEG STEAKHOUSE,DINNER,-92.10
2/18/2026,PURCHASE,WINNERS #1234,CLOTHING,-55.00
2/21/2026,REFUND,AMAZON.CA REFUND,RETURN ITEM,18.99
2/22/2026,PURCHASE,ESSO GAS,FUEL,-50.40
2/25/2026,PURCHASE,SKIP THE DISHES,FOOD DELIVERY,-27.30
2/27/2026,PURCHASE,INDIGO BOOKS,BOOKS,-22.99
