Transaction date,Transaction,Name,Memo,Amount
1/4/2026,PURCHASE,STARBUCKS #7821,COFFEE,-6.95
1/7/2026,PURCHASE,BEST BUY #442,USB CABLE,-24.99
1/10/2026,PURCHASE,METRO GROCERY,GROCERIES,-58.40
1/13/2026,PURCHASE,APPLE.COM/BILL,ICLOUD STORAGE,-3.99
1/16/2026,PURCHASE,THE KEG STEAKHOUSE,DINNER,-88.50
1/18/2026,PURCHASE,WINNERS #1234,WINTER COAT,-79.00
1/20/2026,PURCHASE,ESSO GAS,FUEL,-47.30
1/23/2026,PURCHASE,SKIP THE DISHES,FOOD DELIVERY,-25.40
1/26/2026,PURCHASE,INDIGO BOOKS,BOOKS,-28.99
1/29/2026,PURCHASE,SPORT CHEK,WINTER BOOTS,-109.99
