Date,Description,Withdrawals ($),Deposits ($),Total Balance
4/2/2026,INTERAC PURCHASE SOBEYS #3421,90.30,,9172.45
4/4/2026,INTERAC PURCHASE SHOPPERS DRUG MART,17.20,,9155.25
4/7/2026,BILL PAYMENT ROGERS WIRELESS,95.00,,9060.25
4/10/2026,INTERAC PURCHASE CANADIAN TIRE,41.80,,9018.45
4/13/2026,PAYROLL - EMPLOYER,,2800.00,11818.45
4/15/2026,INTERAC e-TRANSFER SENT TO MOM,200.00,,11618.45
4/17/2026,INTERAC PURCHASE ESSO GAS BAR,63.70,,11554.75
4/20/2026,ATM WITHDRAWAL,100.00,,11454.75
4/22/2026,INTERAC PURCHASE PIZZA PIZZA,19.50,,11435.25
4/24/2026,BILL PAYMENT HYDRO ONE,94.00,,11341.25
4/26/2026,PAYROLL - EMPLOYER,,2800.00,14141.25
4/28/2026,INTERAC PURCHASE WALMART #5567,82.60,,14058.65
4/30/2026,INTERAC e-TRANSFER SENT TO DAD,150.00,,13908.65
