Date,Description,Withdrawals ($),Deposits ($),Total Balance
2/3/2026,INTERAC PURCHASE SOBEYS #3421,82.40,,4437.80
2/5/2026,INTERAC PURCHASE SHOPPERS DRUG MART,19.90,,4417.90
2/7/2026,BILL PAYMENT ROGERS WIRELESS,95.00,,4322.90
2/10/2026,INTERAC PURCHASE CANADIAN TIRE,48.60,,4274.30
2/12/2026,PAYROLL - EMPLOYER,,2800.00,7074.30
2/15/2026,INTERAC e-TRANSFER SENT TO MOM,200.00,,6874.30
2/18/2026,INTERAC PURCHASE ESSO GAS BAR,62.10,,6812.20
2/20/2026,ATM WITHDRAWAL,100.00,,6712.20
2/22/2026,INTERAC PURCHASE PIZZA PIZZA,17.80,,6694.40
2/25/2026,BILL PAYMENT HYDRO ONE,90.00,,6604.40
2/26/2026,PAYROLL - EMPLOYER,,2800.00,9404.40
2/28/2026,INTERAC PURCHASE WALMART #5567,71.20,,9333.20
