Date,Description,Withdrawals ($),Deposits ($),Total Balance
1/3/2026,INTERAC PURCHASE SOBEYS #3421,92.10,,4428.20
1/5/2026,INTERAC PURCHASE SHOPPERS DRUG MART,22.30,,4405.90
1/8/2026,BILL PAYMENT ROGERS WIRELESS,95.00,,4310.90
1/10/2026,INTERAC PURCHASE CANADIAN TIRE,55.80,,4255.10
1/12/2026,PAYROLL - EMPLOYER,,2800.00,7055.10
1/15/2026,INTERAC e-TRANSFER SENT TO MOM,200.00,,6855.10
1/18/2026,INTERAC PURCHASE ESSO GAS BAR,58.40,,6796.70
1/20/2026,ATM WITHDRAWAL,100.00,,6696.70
1/22/2026,INTERAC PURCHASE PIZZA PIZZA,16.50,,6680.20
1/25/2026,BILL PAYMENT HYDRO ONE,98.00,,6582.20
1/26/2026,PAYROLL - EMPLOYER,,2800.00,9382.20
1/28/2026,INTERAC PURCHASE WALMART #5567,65.30,,9316.90
1/30/2026,INTERAC e-TRANSFER SENT TO DAD,150.00,,9166.90
